1st harmonic(V)503007	2nd harmonic(V)503007	Bex(Oe)503007	
1.934820E-1	9.809810E-4	7.000022E+4
1.934820E-1	9.809810E-4	7.000022E+4
1.934820E-1	9.811000E-4	7.000022E+4
1.934820E-1	9.811000E-4	7.000022E+4
1.934820E-1	9.811000E-4	7.000022E+4
1.934820E-1	9.811000E-4	7.000022E+4
1.934820E-1	9.812190E-4	7.000022E+4
1.934820E-1	9.813380E-4	7.000022E+4
1.934820E-1	9.813380E-4	7.000022E+4
1.934820E-1	9.812190E-4	7.000022E+4
1.934820E-1	9.812190E-4	7.000022E+4
1.934820E-1	9.812190E-4	7.000022E+4
1.934820E-1	9.813380E-4	7.000022E+4
1.934820E-1	9.814580E-4	7.000022E+4
1.934820E-1	9.814580E-4	7.000022E+4
1.934820E-1	9.814580E-4	7.000022E+4
1.934520E-1	9.815770E-4	7.000022E+4
1.934520E-1	9.815770E-4	7.000022E+4
1.934520E-1	9.816960E-4	7.000022E+4
1.934520E-1	9.818150E-4	7.000022E+4
1.934520E-1	9.818150E-4	7.000022E+4
1.934520E-1	9.818150E-4	7.000022E+4
1.934520E-1	9.818150E-4	7.000022E+4
1.934520E-1	9.819340E-4	7.000022E+4
1.934520E-1	9.819340E-4	7.000022E+4
1.934520E-1	9.818150E-4	7.000022E+4
1.934520E-1	9.818150E-4	7.000022E+4
1.934520E-1	9.818150E-4	7.000022E+4
1.934520E-1	9.819340E-4	7.000022E+4
1.934520E-1	9.820540E-4	7.000022E+4
1.934520E-1	9.821730E-4	7.000022E+4
1.934520E-1	9.821730E-4	7.000022E+4
1.934520E-1	9.821730E-4	7.000022E+4
1.934520E-1	9.820540E-4	7.000022E+4
1.934520E-1	9.820540E-4	7.000022E+4
1.934520E-1	9.820540E-4	7.000022E+4
1.934520E-1	9.820540E-4	7.000022E+4
1.934520E-1	9.820540E-4	7.000022E+4
1.934520E-1	9.820540E-4	7.000022E+4
1.934520E-1	9.820540E-4	7.000022E+4
1.934520E-1	9.820540E-4	7.000022E+4
1.934210E-1	9.820540E-4	7.000022E+4
1.934210E-1	9.820540E-4	7.000022E+4
1.934210E-1	9.820540E-4	7.000022E+4
1.934210E-1	9.821730E-4	7.000022E+4
1.934210E-1	9.821730E-4	7.000022E+4
1.934210E-1	9.821730E-4	7.000022E+4
1.934210E-1	9.820540E-4	7.000022E+4
1.934210E-1	9.820540E-4	7.000022E+4
1.934210E-1	9.821730E-4	7.000022E+4
1.934210E-1	9.821730E-4	7.000022E+4
1.934210E-1	9.822920E-4	7.000022E+4
1.934210E-1	9.824110E-4	7.000022E+4
1.934210E-1	9.825300E-4	7.000022E+4
1.934210E-1	9.826500E-4	7.000022E+4
1.934210E-1	9.826500E-4	7.000022E+4
1.934210E-1	9.826500E-4	7.000022E+4
1.934210E-1	9.826500E-4	7.000022E+4
1.934210E-1	9.826500E-4	7.000022E+4
1.934210E-1	9.826500E-4	7.000022E+4
1.934210E-1	9.827690E-4	7.000022E+4
1.934210E-1	9.827690E-4	7.000022E+4
1.934210E-1	9.828880E-4	7.000022E+4
1.934210E-1	9.828880E-4	7.000052E+4
1.934210E-1	9.830070E-4	7.000050E+4
1.934210E-1	9.830070E-4	7.000050E+4
1.934210E-1	9.830070E-4	7.000052E+4
1.934210E-1	9.830070E-4	7.000048E+4
1.934210E-1	9.831260E-4	7.000056E+4
1.934520E-1	9.831260E-4	7.000045E+4
1.934520E-1	9.830070E-4	7.000052E+4
1.934520E-1	9.830070E-4	7.000048E+4
1.934210E-1	9.830070E-4	7.000052E+4
1.934210E-1	9.828880E-4	7.000050E+4
1.934210E-1	9.830070E-4	7.000045E+4
1.934210E-1	9.830070E-4	7.000052E+4
1.934210E-1	9.830070E-4	7.000048E+4
1.934210E-1	9.830070E-4	7.000050E+4
1.934210E-1	9.830070E-4	7.000048E+4
1.934210E-1	9.831260E-4	7.000048E+4
1.934210E-1	9.831260E-4	7.000050E+4
1.934210E-1	9.831260E-4	7.000045E+4
1.934210E-1	9.830070E-4	7.000052E+4
1.934210E-1	9.830070E-4	7.000045E+4
1.934210E-1	9.831260E-4	7.000044E+4
1.934210E-1	9.831260E-4	7.000041E+4
1.934210E-1	9.831260E-4	7.000041E+4
1.934210E-1	9.832460E-4	7.000050E+4
1.934210E-1	9.832460E-4	7.000044E+4
1.934210E-1	9.832460E-4	7.000048E+4
1.934210E-1	9.832460E-4	7.000048E+4
1.934210E-1	9.832460E-4	7.000048E+4
1.934210E-1	9.832460E-4	7.000048E+4
1.934210E-1	9.832460E-4	7.000041E+4
1.934210E-1	9.832460E-4	7.000060E+4
1.934210E-1	9.832460E-4	7.000050E+4
1.934210E-1	9.832460E-4	7.000050E+4
1.934210E-1	9.832460E-4	7.000045E+4
1.934210E-1	9.832460E-4	7.000052E+4
1.934210E-1	9.832460E-4	7.000045E+4
1.934210E-1	9.832460E-4	7.000052E+4
1.934210E-1	9.833650E-4	7.000050E+4
1.934210E-1	9.833650E-4	7.000048E+4
1.934210E-1	9.833650E-4	7.000050E+4
1.934210E-1	9.833650E-4	7.000050E+4
1.934210E-1	9.834840E-4	7.000048E+4
1.934210E-1	9.836030E-4	7.000048E+4
1.934210E-1	9.836030E-4	7.000050E+4
1.933910E-1	9.836030E-4	7.000048E+4
1.933910E-1	9.836030E-4	7.000041E+4
1.933910E-1	9.836030E-4	7.000050E+4
1.933910E-1	9.836030E-4	7.000041E+4
1.933910E-1	9.837230E-4	7.000050E+4
1.933910E-1	9.837230E-4	7.000048E+4
1.933910E-1	9.837230E-4	7.000009E+4
1.933910E-1	9.837230E-4	6.998092E+4
1.933910E-1	9.837230E-4	6.993027E+4
1.933600E-1	9.838420E-4	6.987198E+4
1.933600E-1	9.839610E-4	6.981279E+4
1.933600E-1	9.840800E-4	6.975352E+4
1.933600E-1	9.843190E-4	6.969420E+4
1.933600E-1	9.844380E-4	6.963498E+4
1.933300E-1	9.846760E-4	6.957570E+4
1.933300E-1	9.847950E-4	6.951639E+4
1.933300E-1	9.849150E-4	6.945715E+4
1.933300E-1	9.850340E-4	6.939752E+4
1.933300E-1	9.851530E-4	6.933803E+4
1.933300E-1	9.853910E-4	6.927852E+4
1.933300E-1	9.856300E-4	6.921933E+4
1.933300E-1	9.859870E-4	6.915987E+4
1.933300E-1	9.862260E-4	6.910020E+4
1.933300E-1	9.864640E-4	6.904058E+4
1.933300E-1	9.867030E-4	6.898085E+4
1.933300E-1	9.868220E-4	6.892135E+4
1.933300E-1	9.869410E-4	6.886173E+4
1.933300E-1	9.871800E-4	6.880192E+4
1.933300E-1	9.872990E-4	6.874224E+4
1.933300E-1	9.875370E-4	6.868237E+4
1.933300E-1	9.876560E-4	6.862255E+4
1.933300E-1	9.878950E-4	6.856287E+4
1.933300E-1	9.881330E-4	6.850319E+4
1.933300E-1	9.883720E-4	6.844346E+4
1.933300E-1	9.884910E-4	6.838350E+4
1.933300E-1	9.886100E-4	6.832377E+4
1.933300E-1	9.887290E-4	6.826404E+4
1.933300E-1	9.888490E-4	6.820417E+4
1.933300E-1	9.890870E-4	6.814436E+4
1.933300E-1	9.892060E-4	6.808456E+4
1.933300E-1	9.893250E-4	6.802473E+4
1.933300E-1	9.895640E-4	6.796498E+4
1.933300E-1	9.898020E-4	6.790513E+4
1.933300E-1	9.899210E-4	6.784531E+4
1.933300E-1	9.900410E-4	6.778559E+4
1.932990E-1	9.902790E-4	6.772573E+4
1.932990E-1	9.905170E-4	6.766591E+4
1.932990E-1	9.908750E-4	6.760610E+4
1.932990E-1	9.909940E-4	6.754620E+4
1.932990E-1	9.911130E-4	6.748649E+4
1.932690E-1	9.909940E-4	6.742651E+4
1.932690E-1	9.909940E-4	6.736673E+4
1.932380E-1	9.909940E-4	6.730687E+4
1.932080E-1	9.911130E-4	6.724720E+4
1.932080E-1	9.912330E-4	6.718730E+4
1.932080E-1	9.914710E-4	6.712745E+4
1.932080E-1	9.917100E-4	6.706773E+4
1.931770E-1	9.918290E-4	6.700787E+4
1.931770E-1	9.919480E-4	6.694806E+4
1.931770E-1	9.920670E-4	6.688821E+4
1.931470E-1	9.923060E-4	6.682835E+4
1.931470E-1	9.924250E-4	6.676866E+4
1.931470E-1	9.926630E-4	6.670879E+4
1.931470E-1	9.927820E-4	6.664897E+4
1.931470E-1	9.929020E-4	6.658907E+4
1.931470E-1	9.930210E-4	6.652923E+4
1.931470E-1	9.931400E-4	6.646945E+4
1.931470E-1	9.932590E-4	6.640958E+4
1.931470E-1	9.933780E-4	6.634977E+4
1.931470E-1	9.933780E-4	6.628991E+4
1.931470E-1	9.937360E-4	6.622975E+4
1.931470E-1	9.938550E-4	6.616984E+4
1.931470E-1	9.940940E-4	6.611012E+4
1.931160E-1	9.943320E-4	6.605016E+4
1.931160E-1	9.944510E-4	6.599034E+4
1.931160E-1	9.944510E-4	6.593061E+4
1.931160E-1	9.944510E-4	6.587069E+4
1.931160E-1	9.945710E-4	6.581093E+4
1.931160E-1	9.945710E-4	6.575100E+4
1.931160E-1	9.948090E-4	6.569122E+4
1.931160E-1	9.949280E-4	6.563137E+4
1.931160E-1	9.951670E-4	6.557160E+4
1.930860E-1	9.954050E-4	6.551179E+4
1.930860E-1	9.956430E-4	6.545204E+4
1.930860E-1	9.958820E-4	6.539228E+4
1.930860E-1	9.961200E-4	6.533237E+4
1.930860E-1	9.963590E-4	6.527248E+4
1.930860E-1	9.964780E-4	6.521276E+4
1.930860E-1	9.965970E-4	6.515296E+4
1.930860E-1	9.967160E-4	6.509300E+4
1.930860E-1	9.969550E-4	6.503312E+4
1.930860E-1	9.971930E-4	6.497342E+4
1.930860E-1	9.973120E-4	6.491354E+4
1.930860E-1	9.975510E-4	6.485376E+4
1.930550E-1	9.977890E-4	6.479390E+4
1.930550E-1	9.979080E-4	6.473413E+4
1.930550E-1	9.980280E-4	6.467427E+4
1.930550E-1	9.982660E-4	6.461448E+4
1.930550E-1	9.985040E-4	6.455463E+4
1.930550E-1	9.986240E-4	6.449479E+4
1.930250E-1	9.988620E-4	6.443509E+4
1.930250E-1	9.988620E-4	6.437507E+4
1.930250E-1	9.991010E-4	6.431531E+4
1.930250E-1	9.992200E-4	6.425546E+4
1.930250E-1	9.993390E-4	6.419564E+4
1.930250E-1	9.996970E-4	6.413591E+4
1.930250E-1	1.000050E-3	6.407598E+4
1.930250E-1	1.000410E-3	6.401617E+4
1.930250E-1	1.000650E-3	6.395637E+4
1.930250E-1	1.001010E-3	6.389656E+4
1.930250E-1	1.001370E-3	6.383677E+4
1.930250E-1	1.001600E-3	6.377705E+4
1.930250E-1	1.001840E-3	6.371718E+4
1.930250E-1	1.002200E-3	6.365719E+4
1.930250E-1	1.002440E-3	6.359745E+4
