d-700	V1st-700	V-700	
3.724000E-1	5.820780E-3	1.222860E-3
4.468800E+0	5.821260E-3	1.223090E-3
8.565200E+0	5.824120E-3	1.223570E-3
1.228920E+1	5.846530E-3	1.224530E-3
1.638560E+1	5.906130E-3	1.225960E-3
2.048200E+1	6.000070E-3	1.227390E-3
2.457840E+1	6.125960E-3	1.229290E-3
2.867480E+1	6.264240E-3	1.230720E-3
3.277120E+1	6.436850E-3	1.232870E-3
3.686760E+1	6.661440E-3	1.235970E-3
4.096400E+1	6.923230E-3	1.239550E-3
4.506040E+1	7.204560E-3	1.243600E-3
4.915680E+1	7.508310E-3	1.247410E-3
5.288080E+1	7.818760E-3	1.251230E-3
5.697720E+1	8.150160E-3	1.255280E-3
6.107360E+1	8.504450E-3	1.260050E-3
6.517000E+1	8.832040E-3	1.264580E-3
6.889400E+1	9.152000E-3	1.269590E-3
7.299040E+1	9.460510E-3	1.274350E-3
7.708680E+1	9.749000E-3	1.278880E-3
8.118320E+1	1.003320E-2	1.284130E-3
8.527960E+1	1.026780E-2	1.288900E-3
8.900360E+1	1.047570E-2	1.293910E-3
9.310000E+1	1.065690E-2	1.299150E-3
9.719640E+1	1.079420E-2	1.304160E-3
1.012928E+2	1.089630E-2	1.308930E-3
1.050168E+2	1.092150E-2	1.313690E-3
1.091132E+2	1.092150E-2	1.317750E-3
1.132096E+2	1.092150E-2	1.322040E-3
1.169336E+2	1.088580E-2	1.325850E-3
1.210300E+2	1.077800E-2	1.329910E-3
1.251264E+2	1.064540E-2	1.333480E-3
1.292228E+2	1.047900E-2	1.336580E-3
1.333192E+2	1.026970E-2	1.339680E-3
1.374156E+2	1.004560E-2	1.342300E-3
1.411396E+2	9.804310E-3	1.344690E-3
1.452360E+2	9.535370E-3	1.346830E-3
1.493324E+2	9.263100E-3	1.348740E-3
1.530564E+2	8.991780E-3	1.350170E-3
1.571528E+2	8.700910E-3	1.351600E-3
1.612492E+2	8.418620E-3	1.353030E-3
1.653456E+2	8.145870E-3	1.353750E-3
1.694420E+2	7.908880E-3	1.354220E-3
1.731660E+2	7.684260E-3	1.354220E-3
1.776348E+2	7.456810E-3	1.354460E-3
1.817312E+2	7.268940E-3	1.354220E-3
1.858276E+2	7.124450E-3	1.354220E-3
1.899240E+2	7.002860E-3	1.353270E-3
1.940204E+2	6.926090E-3	1.352320E-3
1.977444E+2	6.885080E-3	1.351360E-3
2.018408E+2	6.879360E-3	1.349930E-3
2.059372E+2	6.911780E-3	1.348260E-3
2.096612E+2	6.975200E-3	1.346830E-3
2.137576E+2	7.076770E-3	1.345170E-3
2.178540E+2	7.213150E-3	1.343020E-3
2.223228E+2	7.372410E-3	1.340640E-3
2.260468E+2	7.548840E-3	1.338250E-3
2.301432E+2	7.740050E-3	1.335390E-3
2.338672E+2	7.948460E-3	1.333010E-3
2.379636E+2	8.169710E-3	1.330140E-3
2.420600E+2	8.402410E-3	1.327050E-3
2.461564E+2	8.628430E-3	1.323710E-3
2.498804E+2	8.846340E-3	1.319890E-3
2.539768E+2	9.057580E-3	1.316080E-3
2.577008E+2	9.250220E-3	1.312740E-3
2.617972E+2	9.427130E-3	1.308690E-3
2.658936E+2	9.584010E-3	1.304400E-3
2.703624E+2	9.715140E-3	1.299390E-3
2.744588E+2	9.800490E-3	1.294620E-3
2.781828E+2	9.852950E-3	1.290330E-3
2.822792E+2	9.872020E-3	1.285560E-3
2.863756E+2	9.855330E-3	1.281030E-3
2.900996E+2	9.796680E-3	1.276020E-3
2.945684E+2	9.698450E-3	1.271260E-3
2.986648E+2	9.565410E-3	1.266010E-3
3.027612E+2	9.404720E-3	1.261480E-3
3.068576E+2	9.210170E-3	1.257190E-3
3.105816E+2	8.996070E-3	1.252900E-3
3.146780E+2	8.762900E-3	1.249080E-3
3.184020E+2	8.521620E-3	1.245270E-3
3.224984E+2	8.254110E-3	1.241690E-3
3.265948E+2	7.939400E-3	1.238120E-3
3.310636E+2	7.655170E-3	1.235250E-3
3.347876E+2	7.388620E-3	1.232870E-3
3.388840E+2	7.118730E-3	1.230720E-3
3.429804E+2	6.863620E-3	1.228580E-3
3.470768E+2	6.622820E-3	1.227150E-3
3.508008E+2	6.424460E-3	1.226190E-3
3.548972E+2	6.245170E-3	1.225240E-3
3.589936E+2	6.091620E-3	1.224290E-3
3.600044E+2	5.989100E-3	1.224050E-3
