d500	V1st500	V500	
7.448000E-1	7.176430E-3	1.339920E-3
4.841200E+0	7.172140E-3	1.339920E-3
8.565200E+0	7.146870E-3	1.339920E-3
1.266160E+1	7.116350E-3	1.339680E-3
1.675800E+1	7.107760E-3	1.338730E-3
2.048200E+1	7.130180E-3	1.337540E-3
2.457840E+1	7.181200E-3	1.336340E-3
2.867480E+1	7.248910E-3	1.335390E-3
3.239880E+1	7.340940E-3	1.334200E-3
3.649520E+1	7.471110E-3	1.332290E-3
4.059160E+1	7.631330E-3	1.329910E-3
4.468800E+1	7.831160E-3	1.327760E-3
4.878440E+1	8.041440E-3	1.325850E-3
5.288080E+1	8.287970E-3	1.323710E-3
5.697720E+1	8.523050E-3	1.321080E-3
6.107360E+1	8.769570E-3	1.318220E-3
6.479760E+1	9.007040E-3	1.315360E-3
6.926640E+1	9.269770E-3	1.312020E-3
7.336280E+1	9.489120E-3	1.309160E-3
7.708680E+1	9.691770E-3	1.306060E-3
8.155560E+1	9.878220E-3	1.302250E-3
8.527960E+1	1.003270E-2	1.298910E-3
8.937600E+1	1.016960E-2	1.295340E-3
9.384480E+1	1.027300E-2	1.291520E-3
9.794120E+1	1.033310E-2	1.287940E-3
1.020376E+2	1.035460E-2	1.284370E-3
1.061340E+2	1.033840E-2	1.280550E-3
1.102304E+2	1.028780E-2	1.277220E-3
1.139544E+2	1.020150E-2	1.273880E-3
1.180508E+2	1.008040E-2	1.270780E-3
1.221472E+2	9.923040E-3	1.267680E-3
1.262436E+2	9.744700E-3	1.264580E-3
1.299676E+2	9.528700E-3	1.261480E-3
1.340640E+2	9.298860E-3	1.258860E-3
1.381604E+2	9.057100E-3	1.256000E-3
1.422568E+2	8.781970E-3	1.253370E-3
1.463532E+2	8.508740E-3	1.251230E-3
1.500772E+2	8.233130E-3	1.249560E-3
1.541736E+2	7.958950E-3	1.247890E-3
1.582700E+2	7.691410E-3	1.246220E-3
1.623664E+2	7.418660E-3	1.245030E-3
1.664628E+2	7.190730E-3	1.244080E-3
1.701868E+2	6.985220E-3	1.243360E-3
1.742832E+2	6.798770E-3	1.243360E-3
1.783796E+2	6.635220E-3	1.243360E-3
1.821036E+2	6.513630E-3	1.243600E-3
1.865724E+2	6.419690E-3	1.244310E-3
1.906688E+2	6.369140E-3	1.245030E-3
1.947652E+2	6.363900E-3	1.246220E-3
1.984892E+2	6.401090E-3	1.247410E-3
2.029580E+2	6.478340E-3	1.248610E-3
2.066820E+2	6.595640E-3	1.250510E-3
2.107784E+2	6.753470E-3	1.252660E-3
2.148748E+2	6.936100E-3	1.254800E-3
2.189712E+2	7.171180E-3	1.257190E-3
2.230676E+2	7.447750E-3	1.260050E-3
2.271640E+2	7.718590E-3	1.262910E-3
2.312604E+2	8.005200E-3	1.265530E-3
2.357292E+2	8.338510E-3	1.268390E-3
2.398256E+2	8.658470E-3	1.271490E-3
2.439220E+2	8.983670E-3	1.274350E-3
2.480184E+2	9.307440E-3	1.277930E-3
2.521148E+2	9.615960E-3	1.281510E-3
2.562112E+2	9.927810E-3	1.285080E-3
2.603076E+2	1.019250E-2	1.288420E-3
2.644040E+2	1.044230E-2	1.291760E-3
2.681280E+2	1.066020E-2	1.295570E-3
2.722244E+2	1.083670E-2	1.298910E-3
2.766932E+2	1.092150E-2	1.302730E-3
2.811620E+2	1.092150E-2	1.306540E-3
2.848860E+2	1.092150E-2	1.309640E-3
2.889824E+2	1.092150E-2	1.312740E-3
2.930788E+2	1.092150E-2	1.315360E-3
2.968028E+2	1.092150E-2	1.318700E-3
3.008992E+2	1.092150E-2	1.321080E-3
3.049956E+2	1.086100E-2	1.323710E-3
3.090920E+2	1.069070E-2	1.326330E-3
3.128160E+2	1.048950E-2	1.328710E-3
3.169124E+2	1.027160E-2	1.330380E-3
3.210088E+2	1.003130E-2	1.332050E-3
3.247328E+2	9.768070E-3	1.333720E-3
3.288292E+2	9.481010E-3	1.335390E-3
3.329256E+2	9.206350E-3	1.337060E-3
3.370220E+2	8.934080E-3	1.338250E-3
3.411184E+2	8.645120E-3	1.339200E-3
3.452148E+2	8.371890E-3	1.339920E-3
3.489388E+2	8.131560E-3	1.340640E-3
3.530352E+2	7.913170E-3	1.340870E-3
3.571316E+2	7.698570E-3	1.341110E-3
3.600044E+2	7.526430E-3	1.341110E-3
