d-800	V1st-800	V-800	
3.724000E-1	1.077660E-4	3.795640E-4
4.096400E+0	1.013280E-4	3.796540E-4
8.192800E+0	4.184270E-5	3.797730E-4
1.228920E+1	-6.353900E-5	3.793560E-4
1.638560E+1	-1.963390E-4	3.776270E-4
2.048200E+1	-3.191250E-4	3.746170E-4
2.457840E+1	-4.332080E-4	3.702360E-4
2.830240E+1	-5.323920E-4	3.644840E-4
3.239880E+1	-6.169120E-4	3.574510E-4
3.686760E+1	-6.907020E-4	3.483910E-4
4.096400E+1	-7.424390E-4	3.377520E-4
4.506040E+1	-7.709300E-4	3.265460E-4
4.878440E+1	-7.790360E-4	3.145950E-4
5.288080E+1	-7.667580E-4	3.016610E-4
5.697720E+1	-7.337370E-4	2.877130E-4
6.107360E+1	-6.789010E-4	2.726340E-4
6.517000E+1	-6.170310E-4	2.591630E-4
6.889400E+1	-5.475320E-4	2.463480E-4
7.299040E+1	-4.580040E-4	2.319820E-4
7.671440E+1	-3.473780E-4	2.159490E-4
8.081080E+1	-2.166040E-4	1.987230E-4
8.490720E+1	-7.093000E-5	1.804240E-4
8.900360E+1	8.165880E-5	1.623640E-4
9.272760E+1	2.388960E-4	1.443630E-4
9.682400E+1	4.082940E-4	1.254990E-4
1.009204E+2	5.756650E-4	1.068720E-4
1.050168E+2	7.553140E-4	8.678480E-5
1.091132E+2	9.177960E-4	6.809880E-5
1.128372E+2	1.069550E-3	5.009790E-5
1.169336E+2	1.211410E-3	3.239540E-5
1.210300E+2	1.340160E-3	1.513960E-5
1.247540E+2	1.456630E-3	-1.996770E-6
1.288504E+2	1.559260E-3	-1.904380E-5
1.333192E+2	1.652250E-3	-3.731270E-5
1.374156E+2	1.713640E-3	-5.248210E-5
1.411396E+2	1.755840E-3	-6.735370E-5
1.452360E+2	1.779210E-3	-8.201650E-5
1.493324E+2	1.781830E-3	-9.563610E-5
1.530564E+2	1.763830E-3	-1.082430E-4
1.575252E+2	1.721990E-3	-1.207890E-4
1.612492E+2	1.663930E-3	-1.313990E-4
1.653456E+2	1.590140E-3	-1.408470E-4
1.694420E+2	1.500730E-3	-1.493700E-4
1.731660E+2	1.395350E-3	-1.567910E-4
1.772624E+2	1.279360E-3	-1.630490E-4
1.809864E+2	1.154430E-3	-1.679670E-4
1.850828E+2	1.009830E-3	-1.719600E-4
1.891792E+2	8.673710E-4	-1.745230E-4
1.932756E+2	7.258690E-4	-1.757450E-4
1.973720E+2	5.835330E-4	-1.755960E-4
2.014684E+2	4.444140E-4	-1.741360E-4
2.051924E+2	3.132840E-4	-1.714240E-4
2.092888E+2	1.935970E-4	-1.675200E-4
2.133852E+2	8.404300E-5	-1.624240E-4
2.171092E+2	-1.776230E-5	-1.558670E-4
2.212056E+2	-1.028780E-4	-1.483870E-4
2.249296E+2	-1.719010E-4	-1.397440E-4
2.290260E+2	-2.257830E-4	-1.297300E-4
2.331224E+2	-2.621430E-4	-1.184050E-4
2.372188E+2	-2.800240E-4	-1.061270E-4
2.409428E+2	-2.784750E-4	-9.325190E-5
2.450392E+2	-2.578520E-4	-7.894680E-5
2.491356E+2	-2.193460E-4	-6.383700E-5
2.532320E+2	-1.643910E-4	-4.804160E-5
2.573284E+2	-9.334130E-5	-3.138210E-5
2.614248E+2	-2.384200E-6	-1.299390E-5
2.655212E+2	9.429500E-5	4.589590E-6
2.696176E+2	1.988420E-4	2.244130E-5
2.737140E+2	3.075620E-4	4.014400E-5
2.774380E+2	4.224800E-4	5.844260E-5
2.815344E+2	5.427640E-4	7.757590E-5
2.856308E+2	6.580390E-4	9.620240E-5
2.893548E+2	7.691420E-4	1.147990E-4
2.934512E+2	8.769070E-4	1.339620E-4
2.971752E+2	9.781200E-4	1.533340E-4
3.012716E+2	1.066220E-3	1.722880E-4
3.053680E+2	1.144300E-3	1.916300E-4
3.094644E+2	1.208310E-3	2.110610E-4
3.139332E+2	1.256710E-3	2.309390E-4
3.180296E+2	1.282340E-3	2.487920E-4
3.217536E+2	1.289260E-3	2.657490E-4
3.258500E+2	1.278290E-3	2.819620E-4
3.299464E+2	1.247650E-3	2.973690E-4
3.336704E+2	1.198180E-3	3.115550E-4
3.381392E+2	1.126060E-3	3.255030E-4
3.422356E+2	1.043210E-3	3.371850E-4
3.459596E+2	9.473600E-4	3.474370E-4
3.500560E+2	8.306540E-4	3.569440E-4
3.541524E+2	7.069150E-4	3.646630E-4
3.582488E+2	5.772150E-4	3.707730E-4
3.600044E+2	4.440560E-4	3.754220E-4
