d1000	V1st1000	V1000	
3.724000E-1	9.307900E-4	-2.378530E-4
4.468800E+0	9.250680E-4	-2.378230E-4
8.192800E+0	8.719000E-4	-2.380320E-4
1.228920E+1	7.643740E-4	-2.379130E-4
1.601320E+1	6.332430E-4	-2.366020E-4
2.010960E+1	5.009210E-4	-2.339190E-4
2.420600E+1	3.730080E-4	-2.295980E-4
2.830240E+1	2.468840E-4	-2.234290E-4
3.239880E+1	1.426940E-4	-2.164550E-4
3.612280E+1	5.161790E-5	-2.082890E-4
4.021920E+1	-2.956400E-5	-1.981860E-4
4.431560E+1	-1.018050E-4	-1.855500E-4
4.841200E+1	-1.502050E-4	-1.728250E-4
5.250840E+1	-1.815570E-4	-1.585190E-4
5.623240E+1	-1.946700E-4	-1.433500E-4
6.032880E+1	-1.900210E-4	-1.275850E-4
6.442520E+1	-1.713050E-4	-1.115800E-4
6.852160E+1	-1.409060E-4	-9.602350E-5
7.261800E+1	-9.620240E-5	-7.921500E-5
7.634200E+1	-3.588220E-5	-6.073740E-5
8.043840E+1	3.969690E-5	-4.065060E-5
8.453480E+1	1.326810E-4	-1.832850E-5
8.863120E+1	2.273330E-4	2.890840E-6
9.235520E+1	3.289000E-4	2.467640E-5
9.645160E+1	4.404800E-4	4.828000E-5
1.005480E+2	5.507510E-4	7.137700E-5
1.042720E+2	6.603040E-4	9.492090E-5
1.083684E+2	7.669960E-4	1.188520E-4
1.124648E+2	8.734500E-4	1.441850E-4
1.165612E+2	9.655990E-4	1.681460E-4
1.206576E+2	1.042140E-3	1.906460E-4
1.243816E+2	1.107460E-3	2.130280E-4
1.284780E+2	1.160270E-3	2.357070E-4
1.325744E+2	1.197820E-3	2.578520E-4
1.362984E+2	1.219160E-3	2.791300E-4
1.403948E+2	1.222980E-3	2.993960E-4
1.444912E+2	1.207720E-3	3.206150E-4
1.485876E+2	1.174700E-3	3.397480E-4
1.523116E+2	1.125700E-3	3.568850E-4
1.564080E+2	1.060250E-3	3.726200E-4
1.605044E+2	9.764470E-4	3.874920E-4
1.642284E+2	8.839410E-4	4.001870E-4
1.683248E+2	7.798710E-4	4.113040E-4
1.720488E+2	6.631650E-4	4.210490E-4
1.761452E+2	5.326310E-4	4.295430E-4
1.802416E+2	4.024520E-4	4.358010E-4
1.843380E+2	2.586860E-4	4.406590E-4
1.884344E+2	1.174220E-4	4.434900E-4
1.921584E+2	-1.764310E-5	4.444440E-4
1.962548E+2	-1.564040E-4	4.435800E-4
2.003512E+2	-2.827660E-4	4.409870E-4
2.040752E+2	-4.050750E-4	4.363670E-4
2.081716E+2	-5.074780E-4	4.304960E-4
2.122680E+2	-5.961690E-4	4.231050E-4
2.163644E+2	-6.781850E-4	4.130320E-4
2.204608E+2	-7.376710E-4	4.021250E-4
2.245572E+2	-7.793940E-4	3.897860E-4
2.286536E+2	-8.009710E-4	3.761370E-4
2.331224E+2	-8.013290E-4	3.590900E-4
2.368464E+2	-7.803480E-4	3.424900E-4
2.409428E+2	-7.396970E-4	3.252940E-4
2.446668E+2	-6.777090E-4	3.066680E-4
2.487632E+2	-5.976000E-4	2.872070E-4
2.528596E+2	-4.950800E-4	2.661960E-4
2.569560E+2	-3.829020E-4	2.458410E-4
2.610524E+2	-2.479570E-4	2.235780E-4
2.651488E+2	-1.044280E-4	2.015840E-4
2.688728E+2	5.018730E-5	1.792020E-4
2.729692E+2	2.048020E-4	1.575960E-4
2.770656E+2	3.675240E-4	1.355120E-4
2.807896E+2	5.304850E-4	1.134880E-4
2.848860E+2	6.920140E-4	9.179160E-5
2.886100E+2	8.516350E-4	7.009550E-5
2.927064E+2	1.012810E-3	4.753490E-5
2.968028E+2	1.170400E-3	2.440820E-5
3.008992E+2	1.309160E-3	2.861040E-6
3.046232E+2	1.433620E-3	-1.794110E-5
3.087196E+2	1.548420E-3	-3.930950E-5
3.128160E+2	1.647360E-3	-6.023070E-5
3.169124E+2	1.724610E-3	-8.040710E-5
3.210088E+2	1.780280E-3	-9.924220E-5
3.247328E+2	1.816880E-3	-1.172430E-4
3.288292E+2	1.833210E-3	-1.342010E-4
3.329256E+2	1.827720E-3	-1.498770E-4
3.366496E+2	1.802690E-3	-1.644200E-4
3.411184E+2	1.753700E-3	-1.786360E-4
3.448424E+2	1.692660E-3	-1.901990E-4
3.489388E+2	1.610880E-3	-2.009280E-4
3.526628E+2	1.516350E-3	-2.101070E-4
3.567592E+2	1.411560E-3	-2.178560E-4
3.600044E+2	1.292120E-3	-2.243230E-4
