1st harmonic(V)503007	2nd harmonic(V)503007	Bex(Oe)503007	
-1.719450E-1	1.084340E-3	7.000005E+4
-1.719450E-1	1.084340E-3	7.000005E+4
-1.719450E-1	1.084570E-3	7.000005E+4
-1.719450E-1	1.084570E-3	7.000005E+4
-1.719450E-1	1.084570E-3	7.000005E+4
-1.719450E-1	1.084810E-3	7.000005E+4
-1.719450E-1	1.084810E-3	7.000005E+4
-1.719370E-1	1.085050E-3	7.000005E+4
-1.719370E-1	1.085050E-3	7.000005E+4
-1.719370E-1	1.085050E-3	7.000005E+4
-1.719370E-1	1.085050E-3	7.000005E+4
-1.719370E-1	1.085050E-3	7.000005E+4
-1.719290E-1	1.085050E-3	7.000005E+4
-1.719290E-1	1.085050E-3	7.000005E+4
-1.719290E-1	1.085050E-3	7.000005E+4
-1.719290E-1	1.085050E-3	7.000005E+4
-1.719290E-1	1.085050E-3	7.000005E+4
-1.719290E-1	1.085050E-3	7.000005E+4
-1.719290E-1	1.085050E-3	7.000005E+4
-1.719290E-1	1.085050E-3	7.000005E+4
-1.719220E-1	1.085050E-3	7.000005E+4
-1.719220E-1	1.085050E-3	7.000005E+4
-1.719220E-1	1.085050E-3	7.000005E+4
-1.719220E-1	1.085050E-3	7.000005E+4
-1.719220E-1	1.085050E-3	7.000005E+4
-1.719220E-1	1.085050E-3	7.000005E+4
-1.719220E-1	1.085050E-3	7.000005E+4
-1.719220E-1	1.085050E-3	7.000005E+4
-1.719290E-1	1.085050E-3	7.000005E+4
-1.719290E-1	1.085050E-3	7.000005E+4
-1.719370E-1	1.084810E-3	7.000005E+4
-1.719370E-1	1.084810E-3	7.000005E+4
-1.719370E-1	1.084810E-3	7.000005E+4
-1.719370E-1	1.085050E-3	7.000005E+4
-1.719370E-1	1.085050E-3	7.000005E+4
-1.719370E-1	1.085050E-3	7.000005E+4
-1.719290E-1	1.085050E-3	7.000005E+4
-1.719290E-1	1.084810E-3	7.000005E+4
-1.719290E-1	1.084810E-3	7.000005E+4
-1.719290E-1	1.084810E-3	7.000005E+4
-1.719290E-1	1.084810E-3	7.000005E+4
-1.719290E-1	1.084810E-3	7.000005E+4
-1.719290E-1	1.084810E-3	7.000005E+4
-1.719290E-1	1.084810E-3	7.000005E+4
-1.719290E-1	1.084810E-3	7.000005E+4
-1.719220E-1	1.084810E-3	7.000005E+4
-1.719220E-1	1.084810E-3	7.000005E+4
-1.719220E-1	1.084570E-3	7.000005E+4
-1.719220E-1	1.084570E-3	7.000005E+4
-1.719220E-1	1.084570E-3	7.000005E+4
